ID,Name,Roll No.,Gender,bloodGroup,Parent Name,Relation,Class,Section,Address,City,Date of Birth,Email,Mobile
6815927dbdad4738e63136e0,manikanta,114,male,,ram guru,father,5,a,Padagalavari,Rajamahandravaram,2025-04-29T00:00:00.000Z,mani@gmail.com,6304465771
681593afbdad4738e63136e5,rocky,154,male,,satish garu,father,10,c,Padagalavari Vedi,kakinada,2025-04-28T00:00:00.000Z,rm@gmail.com,6547891230
6815acc6d06bb093b035337d,subbu,789,male,,ramana guru,father,2,b,Padagalavari Vedi,Rajamahandravaram,2025-04-28T00:00:00.000Z,s@gmail.com,9505555326
68184db73e436c1232383467,chaitanya,,male,,shyam,father,10th class,a,steel plant,vizag,1992-08-06T00:00:00.000Z,shyam@gmail.com,9632587410
681851373e436c1232383487,chaitanya,,male,,shyam,father,10th class,a,steel plant,vizag,1992-08-06T00:00:00.000Z,shyam123@gmail.com,9632587412
6831566cf4b675ad589bae56,jdnd,1,male,,jgjh,hgh,Grade1,a,hghg,jhjh,2025-05-01T00:00:00.000Z,surya@gmail.com,9505555320
683157b2cfdc79482115fb21,fdevger,,male,,rockin,father,10,a,Padagalavari Vedi,Rajamahandravaram,2025-04-29T00:00:00.000Z,smrk@gmail.com,7382611477
6837b88ab429ac503ed3d999,surya,1,male,,hghgf,yghg,Grade1,a,hfbh,ggdhgh,2025-05-07T00:00:00.000Z,surya12@gmail.com,9632587416
6837bdb0b429ac503ed3d9a3,gg,5,male,,ss,ss,Grade 1,a,ss,ss,2025-05-14T00:00:00.000Z,gfgf@gmail.com,6523862563
683a5ed81c589a0a74710a53,yyy,123,male,,dh,hghgd,Grade 3,a,jdnmn,nndm,2025-05-06T00:00:00.000Z,hh@gmail.com,6523541253
683a63bb1c589a0a74710a5e,jhj,jdhd,male,,jgjh,ythg,Grade 3,A,hghg,hgb,2025-05-13T00:00:00.000Z,yduhd@gmail.com,6523515266
6845223052571ad9a82ca5cc,gfgrhgr,56,male,,jhjf,fhjfh,Grade 2,a,hfghfg,kjfkf,2025-06-01T00:00:00.000Z,ygg@gmail.com,6523862565
